test_env,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,args,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
0,29.59,14.80,50.00,22.83,98,"{'activity_id': 10, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 1}",0.00,0.00,0.00,69,29.59,100.00,45.67,29,8.76,29.59,13.51,98
0,43.88,50.14,50.15,43.73,98,"{'activity_id': 10, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 6}",70.59,34.78,46.60,69,29.69,65.52,40.86,29,58.48,43.88,44.90,98
0,43.88,50.14,50.15,43.73,98,"{'activity_id': 10, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 11}",70.59,34.78,46.60,69,29.69,65.52,40.86,29,58.48,43.88,44.90,98
0,43.88,50.14,50.15,43.73,98,"{'activity_id': 10, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 16}",70.59,34.78,46.60,69,29.69,65.52,40.86,29,58.48,43.88,44.90,98
0,43.88,50.14,50.15,43.73,98,"{'activity_id': 10, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 21}",70.59,34.78,46.60,69,29.69,65.52,40.86,29,58.48,43.88,44.90,98
0,43.88,50.14,50.15,43.73,98,"{'activity_id': 10, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 26}",70.59,34.78,46.60,69,29.69,65.52,40.86,29,58.48,43.88,44.90,98
0,48.98,48.98,48.78,46.76,98,"{'activity_id': 10, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 31}",69.39,49.28,57.63,69,28.57,48.28,35.90,29,57.31,48.98,51.20,98
0,52.04,49.11,48.95,48.10,98,"{'activity_id': 10, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 36}",69.64,56.52,62.40,69,28.57,41.38,33.80,29,57.49,52.04,53.94,98
0,54.08,50.34,50.40,49.67,98,"{'activity_id': 10, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 41}",70.69,59.42,64.57,69,30.00,41.38,34.78,29,58.65,54.08,55.75,98
0,54.08,50.34,50.40,49.67,98,"{'activity_id': 10, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 46}",70.69,59.42,64.57,69,30.00,41.38,34.78,29,58.65,54.08,55.75,98
0,54.08,50.34,50.40,49.67,98,"{'activity_id': 10, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 51}",70.69,59.42,64.57,69,30.00,41.38,34.78,29,58.65,54.08,55.75,98
0,57.14,52.28,52.57,52.03,98,"{'activity_id': 10, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 56}",72.13,63.77,67.69,69,32.43,41.38,36.36,29,60.38,57.14,58.42,98
0,57.14,52.28,52.57,52.03,98,"{'activity_id': 10, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 61}",72.13,63.77,67.69,69,32.43,41.38,36.36,29,60.38,57.14,58.42,98
0,57.14,52.28,52.57,52.03,98,"{'activity_id': 10, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 66}",72.13,63.77,67.69,69,32.43,41.38,36.36,29,60.38,57.14,58.42,98
0,57.14,52.28,52.57,52.03,98,"{'activity_id': 10, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 71}",72.13,63.77,67.69,69,32.43,41.38,36.36,29,60.38,57.14,58.42,98
0,57.14,52.28,52.57,52.03,98,"{'activity_id': 10, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 76}",72.13,63.77,67.69,69,32.43,41.38,36.36,29,60.38,57.14,58.42,98
0,57.14,52.28,52.57,52.03,98,"{'activity_id': 10, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 81}",72.13,63.77,67.69,69,32.43,41.38,36.36,29,60.38,57.14,58.42,98
0,57.14,52.28,52.57,52.03,98,"{'activity_id': 10, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 86}",72.13,63.77,67.69,69,32.43,41.38,36.36,29,60.38,57.14,58.42,98
0,57.14,52.28,52.57,52.03,98,"{'activity_id': 10, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 91}",72.13,63.77,67.69,69,32.43,41.38,36.36,29,60.38,57.14,58.42,98
0,57.14,52.28,52.57,52.03,98,"{'activity_id': 10, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 96}",72.13,63.77,67.69,69,32.43,41.38,36.36,29,60.38,57.14,58.42,98
0,57.14,52.28,52.57,52.03,98,"{'activity_id': 10, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 101}",72.13,63.77,67.69,69,32.43,41.38,36.36,29,60.38,57.14,58.42,98
0,56.12,54.89,55.85,53.56,98,"{'activity_id': 10, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 241}",75.00,56.52,64.46,69,34.78,55.17,42.67,29,63.10,56.12,58.01,98
0,57.14,55.51,56.57,54.41,98,"{'activity_id': 10, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 246}",75.47,57.97,65.57,69,35.56,55.17,43.24,29,63.66,57.14,58.97,98
0,59.18,58.36,60.02,57.02,98,"{'activity_id': 10, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 291}",78.43,57.97,66.67,69,38.30,62.07,47.37,29,66.56,59.18,60.96,98
0,59.18,58.36,60.02,57.02,98,"{'activity_id': 10, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 296}",78.43,57.97,66.67,69,38.30,62.07,47.37,29,66.56,59.18,60.96,98
0,59.18,58.36,60.02,57.02,98,"{'activity_id': 10, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 301}",78.43,57.97,66.67,69,38.30,62.07,47.37,29,66.56,59.18,60.96,98
