test_env,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,args,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
0,29.59,14.80,50.00,22.83,98,"{'activity_id': 6, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 1}",0.00,0.00,0.00,69,29.59,100.00,45.67,29,8.76,29.59,13.51,98
0,29.59,14.80,50.00,22.83,98,"{'activity_id': 6, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 6}",0.00,0.00,0.00,69,29.59,100.00,45.67,29,8.76,29.59,13.51,98
0,29.59,14.80,50.00,22.83,98,"{'activity_id': 6, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 11}",0.00,0.00,0.00,69,29.59,100.00,45.67,29,8.76,29.59,13.51,98
0,29.59,14.80,50.00,22.83,98,"{'activity_id': 6, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 16}",0.00,0.00,0.00,69,29.59,100.00,45.67,29,8.76,29.59,13.51,98
0,29.59,14.80,50.00,22.83,98,"{'activity_id': 6, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 21}",0.00,0.00,0.00,69,29.59,100.00,45.67,29,8.76,29.59,13.51,98
0,29.59,14.80,50.00,22.83,98,"{'activity_id': 6, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 26}",0.00,0.00,0.00,69,29.59,100.00,45.67,29,8.76,29.59,13.51,98
0,29.59,14.80,50.00,22.83,98,"{'activity_id': 6, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 31}",0.00,0.00,0.00,69,29.59,100.00,45.67,29,8.76,29.59,13.51,98
0,41.84,47.89,47.70,41.68,98,"{'activity_id': 6, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 36}",67.65,33.33,44.66,69,28.12,62.07,38.71,29,55.95,41.84,42.90,98
0,42.86,47.72,47.43,42.47,98,"{'activity_id': 6, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 111}",67.57,36.23,47.17,69,27.87,58.62,37.78,29,55.82,42.86,44.39,98
0,42.86,47.72,47.43,42.47,98,"{'activity_id': 6, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 116}",67.57,36.23,47.17,69,27.87,58.62,37.78,29,55.82,42.86,44.39,98
