test_env,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,args,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
0,29.59,14.80,50.00,22.83,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 1}",0.00,0.00,0.00,69,29.59,100.00,45.67,29,8.76,29.59,13.51,98
0,29.59,14.80,50.00,22.83,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 6}",0.00,0.00,0.00,69,29.59,100.00,45.67,29,8.76,29.59,13.51,98
0,29.59,14.80,50.00,22.83,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 11}",0.00,0.00,0.00,69,29.59,100.00,45.67,29,8.76,29.59,13.51,98
0,29.59,14.80,50.00,22.83,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 16}",0.00,0.00,0.00,69,29.59,100.00,45.67,29,8.76,29.59,13.51,98
0,29.59,14.80,50.00,22.83,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 21}",0.00,0.00,0.00,69,29.59,100.00,45.67,29,8.76,29.59,13.51,98
0,29.59,14.80,50.00,22.83,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 26}",0.00,0.00,0.00,69,29.59,100.00,45.67,29,8.76,29.59,13.51,98
0,29.59,14.80,50.00,22.83,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 31}",0.00,0.00,0.00,69,29.59,100.00,45.67,29,8.76,29.59,13.51,98
0,29.59,14.80,50.00,22.83,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 36}",0.00,0.00,0.00,69,29.59,100.00,45.67,29,8.76,29.59,13.51,98
0,29.59,14.80,50.00,22.83,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 41}",0.00,0.00,0.00,69,29.59,100.00,45.67,29,8.76,29.59,13.51,98
0,29.59,14.80,50.00,22.83,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 46}",0.00,0.00,0.00,69,29.59,100.00,45.67,29,8.76,29.59,13.51,98
0,29.59,14.80,50.00,22.83,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 51}",0.00,0.00,0.00,69,29.59,100.00,45.67,29,8.76,29.59,13.51,98
0,29.59,14.80,50.00,22.83,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 56}",0.00,0.00,0.00,69,29.59,100.00,45.67,29,8.76,29.59,13.51,98
0,29.59,14.80,50.00,22.83,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 61}",0.00,0.00,0.00,69,29.59,100.00,45.67,29,8.76,29.59,13.51,98
0,29.59,14.80,50.00,22.83,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 66}",0.00,0.00,0.00,69,29.59,100.00,45.67,29,8.76,29.59,13.51,98
0,29.59,14.80,50.00,22.83,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 71}",0.00,0.00,0.00,69,29.59,100.00,45.67,29,8.76,29.59,13.51,98
0,29.59,14.80,50.00,22.83,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 76}",0.00,0.00,0.00,69,29.59,100.00,45.67,29,8.76,29.59,13.51,98
0,29.59,14.80,50.00,22.83,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 81}",0.00,0.00,0.00,69,29.59,100.00,45.67,29,8.76,29.59,13.51,98
0,29.59,14.80,50.00,22.83,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 86}",0.00,0.00,0.00,69,29.59,100.00,45.67,29,8.76,29.59,13.51,98
0,29.59,14.80,50.00,22.83,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 91}",0.00,0.00,0.00,69,29.59,100.00,45.67,29,8.76,29.59,13.51,98
0,29.59,14.80,50.00,22.83,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 96}",0.00,0.00,0.00,69,29.59,100.00,45.67,29,8.76,29.59,13.51,98
0,29.59,14.80,50.00,22.83,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 101}",0.00,0.00,0.00,69,29.59,100.00,45.67,29,8.76,29.59,13.51,98
0,29.59,14.80,50.00,22.83,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 106}",0.00,0.00,0.00,69,29.59,100.00,45.67,29,8.76,29.59,13.51,98
0,29.59,14.80,50.00,22.83,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 111}",0.00,0.00,0.00,69,29.59,100.00,45.67,29,8.76,29.59,13.51,98
0,29.59,14.80,50.00,22.83,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 116}",0.00,0.00,0.00,69,29.59,100.00,45.67,29,8.76,29.59,13.51,98
0,29.59,14.80,50.00,22.83,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 121}",0.00,0.00,0.00,69,29.59,100.00,45.67,29,8.76,29.59,13.51,98
0,29.59,14.80,50.00,22.83,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 126}",0.00,0.00,0.00,69,29.59,100.00,45.67,29,8.76,29.59,13.51,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 776}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 781}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 786}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 791}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 796}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 801}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 806}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 811}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 816}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 821}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 826}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 831}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 836}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 841}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 846}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 851}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 856}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 861}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 866}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 871}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 876}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 881}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 886}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 891}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 896}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 901}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 906}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 911}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 916}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 921}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 926}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 931}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 936}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 941}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 946}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 951}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 956}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 961}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 966}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 971}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 976}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 981}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 986}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 991}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
0,29.59,39.36,48.00,24.69,98,"{'activity_id': 8, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 996}",50.00,2.90,5.48,69,28.72,93.10,43.90,29,43.70,29.59,16.85,98
