test_env,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,args,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
0,29.59,14.80,50.00,22.83,98,"{'activity_id': 9, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 1}",0.00,0.00,0.00,69,29.59,100.00,45.67,29,8.76,29.59,13.51,98
0,70.41,35.20,50.00,41.32,98,"{'activity_id': 9, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 6}",70.41,100.00,82.63,69,0.00,0.00,0.00,29,49.57,70.41,58.18,98
0,42.86,56.71,55.42,42.47,98,"{'activity_id': 9, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 241}",80.95,24.64,37.78,69,32.47,86.21,47.17,29,66.60,42.86,40.56,98
0,42.86,56.71,55.42,42.47,98,"{'activity_id': 9, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 246}",80.95,24.64,37.78,69,32.47,86.21,47.17,29,66.60,42.86,40.56,98
0,42.86,56.71,55.42,42.47,98,"{'activity_id': 9, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 251}",80.95,24.64,37.78,69,32.47,86.21,47.17,29,66.60,42.86,40.56,98
0,42.86,56.71,55.42,42.47,98,"{'activity_id': 9, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 256}",80.95,24.64,37.78,69,32.47,86.21,47.17,29,66.60,42.86,40.56,98
0,42.86,56.71,55.42,42.47,98,"{'activity_id': 9, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 261}",80.95,24.64,37.78,69,32.47,86.21,47.17,29,66.60,42.86,40.56,98
0,42.86,56.71,55.42,42.47,98,"{'activity_id': 9, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 266}",80.95,24.64,37.78,69,32.47,86.21,47.17,29,66.60,42.86,40.56,98
0,42.86,56.71,55.42,42.47,98,"{'activity_id': 9, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 271}",80.95,24.64,37.78,69,32.47,86.21,47.17,29,66.60,42.86,40.56,98
0,42.86,56.71,55.42,42.47,98,"{'activity_id': 9, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 276}",80.95,24.64,37.78,69,32.47,86.21,47.17,29,66.60,42.86,40.56,98
0,42.86,56.71,55.42,42.47,98,"{'activity_id': 9, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 281}",80.95,24.64,37.78,69,32.47,86.21,47.17,29,66.60,42.86,40.56,98
0,42.86,56.71,55.42,42.47,98,"{'activity_id': 9, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 286}",80.95,24.64,37.78,69,32.47,86.21,47.17,29,66.60,42.86,40.56,98
0,42.86,56.71,55.42,42.47,98,"{'activity_id': 9, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 291}",80.95,24.64,37.78,69,32.47,86.21,47.17,29,66.60,42.86,40.56,98
0,42.86,56.71,55.42,42.47,98,"{'activity_id': 9, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 296}",80.95,24.64,37.78,69,32.47,86.21,47.17,29,66.60,42.86,40.56,98
0,42.86,56.71,55.42,42.47,98,"{'activity_id': 9, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 301}",80.95,24.64,37.78,69,32.47,86.21,47.17,29,66.60,42.86,40.56,98
0,42.86,56.71,55.42,42.47,98,"{'activity_id': 9, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 306}",80.95,24.64,37.78,69,32.47,86.21,47.17,29,66.60,42.86,40.56,98
0,42.86,56.71,55.42,42.47,98,"{'activity_id': 9, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 311}",80.95,24.64,37.78,69,32.47,86.21,47.17,29,66.60,42.86,40.56,98
0,42.86,56.71,55.42,42.47,98,"{'activity_id': 9, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 316}",80.95,24.64,37.78,69,32.47,86.21,47.17,29,66.60,42.86,40.56,98
0,42.86,56.71,55.42,42.47,98,"{'activity_id': 9, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 321}",80.95,24.64,37.78,69,32.47,86.21,47.17,29,66.60,42.86,40.56,98
0,43.88,57.36,56.15,43.59,98,"{'activity_id': 9, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 326}",81.82,26.09,39.56,69,32.89,86.21,47.62,29,67.34,43.88,41.95,98
0,44.90,56.44,55.87,44.81,98,"{'activity_id': 9, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 331}",80.00,28.99,42.55,69,32.88,82.76,47.06,29,66.06,44.90,43.89,98
0,44.90,56.44,55.87,44.81,98,"{'activity_id': 9, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 336}",80.00,28.99,42.55,69,32.88,82.76,47.06,29,66.06,44.90,43.89,98
0,44.90,56.44,55.87,44.81,98,"{'activity_id': 9, 'test_envs': 0, 'k_num': 1, 'squared_sigma': 8, 'm': 341}",80.00,28.99,42.55,69,32.88,82.76,47.06,29,66.06,44.90,43.89,98
